Korean,English,Syn
서울산업대학교,Seoul National University of Technology,"국립서울산업대학교, Seoul National University of Technology, 서울산업대, 서울산업대학"
서울성경신학대학원대학교,Seoul Bible Graduate School of Theology,"SEOUL BIBLE GRADUATE SCHOOL OF THEOLOGYY, 서울聖經神學大學院大學敎, 서울성경신학대학원대, 서울성경신학대학원대학, 서울聖經神學大學院大敎, Seoul Bible Graduate School of Theology"
서울시립대학교,University of Seoul,"서울市立大, 서울市立大學, 서울시립대, The University of Seoul, 서울市立大學校, 서울시립대학"
서울신학대학교,Seoul Theological University,"서울神學大學校, Seoul Theological University, 서울神學大學, 서울신학대학, 서울神學大, 서울신학대"
서울여자간호대학교,Seoul Women's College of Nursing,"서울여자간호대학, 서울女子看護大學校, 서울여자간호대, Seoul Women's College of nursing, 서울女子看護大學, 서울女子看護大"
서울여자대학교,Seoul Womens University,"Seoul Women's University, 서울女子大學敎, 서울여자대, 서울女子大敎, 서울여자대학"
서울예술대학교,Seoul Institute of the Arts,"서울예술대, 서울예술대학, 서울藝術大學, Seoul Institute of the Arts, 서울藝術大學校, 서울藝術大"
서울외국어대학원대학교,Seoul University of Foreign Studies,"서울외국어대학원대학, 서울외국어대학원대, 서울外國語大學院大, 서울外國語大學院大學校, 서울外國語大學院大學, Seoul University of Foreign Studies"
서울장신대학교,Seoul Jangsin University,"서울장신대, 서울장신대학, 서울長神大學, 서울長神大學校, 서울長神大, SEOUL JANGSIN UNIVERSITY, Seoul Jangsin University and Theological Seminary"
서울한영대학교,Seoul Hanyoung University,한영대학교
서원대학교,Seowon University,"서원대학, 西原大學校, 西原大, 西原大學, SEOWONUNIVERSITY, Seowon University, 서원대"
서일대학교,Seoil University,"서일대학, Seoil College, 瑞逸大學校, 서일대, 서일전문대, SEOIL UNIVERSITY, 瑞逸大, 瑞逸大學, 서일전문대학, Seoil Junior College"
서정대학교,SeoJeong College,"서정대학, SEOJEONG COLLEGE, 서정대, 瑞靖大學校, 瑞靖大學, 瑞靖大"
서해대학,Sohae College,"서해대학교, 西海大學校, 西海大學, 西海大, Sohae College, 서해대"
선린대학교,Sunlin University,"선린대, SUNLIN UNIVERSITY, 善隣大學校, 善隣大, 선린대학, Sunlin College, 善隣大學"
선문대학교,Sunmoon University,"선문대학, 鮮文大學校, 鮮文大學, 선문대, Sunmoon University, 鮮文大"
선학UP대학원대학교,SunHak Universal Peace Graduate University,
성결대학교,Sungkyul University,"聖潔大學, SUNGKYUL UNIVERSITY, 聖潔大學校, 성결대학, 성결대, 聖潔大"
성공회대학교,Sungkonghoe University,"Sungkonghoe University, 聖公會大學, 聖公會大, 성공회대학, SungkonghoeUniversity, 성공회대, 聖公會大學校"
성균관대학교,Sungkyungkwan University,"Sungkyunkwan University, 성균관대, 成均館大學, 성균관대학, 成均館大學校, 成均館大"
성덕대학교,SUNGDUK C.UNIVERSITY,"成德大學, SUNGDUK C.UNIVERSITY, 성덕대, 成德大, 成德大學校, 성덕대학"
성산효대학원대학교,Sungsan Hyo University,"聖山孝大學院大學校, 聖山孝大學院大, 성산효대학원대, 성산효대학원대학, 聖山孝大學院大學, Sungsan Hyo Graduate School, Sungsan Hyo University"
성서침례대학원대학교,Bible Baptist Theological Seminary,"聖書浸禮大學院大學, 성서침례대학원대학, 聖書浸禮大學院大, Bible Baptist Theological Seminary, 聖書浸禮大學院大學校, 성서침례대학원대"
성신여자대학교,Sungshin Women's University,"성신여자대학, 성신여자대, Sungshin women's university, 誠信女子大學校, 誠信女子大學, 誠信女子大"
성심외국어대학,SungSim College of Foreign Languages,"SungSim College of Foreign Languages, 聖心外國語大學, 성심외국어대, 聖心外國語大"
성운대학교,Sungwoon University,
세경대학교,Saekyung University,"世京大學校, 世京大, 세경대학, Saekyung college, 세경대, 世京大學"
세명대학교,Semyung University,"SEMYUNG UNIVERSITY, 世明大學校, 세명대, 세명대학, 世明大學, 世明大, se myung university"
세종대학교,Sejong University,"Sejong University, 세종대, 世宗大學, Sejone university, 世宗大學校, 세종대학, 世宗大"
세종사이버대학교,Sejong Cyber University,"Sejong Cyber University, 世宗사이버大學校, 世宗사이버大學, 世宗사이버大, 세종사이버대, 세종사이버대학"
세한대학교,SEHAN UNIVERSITY,"世翰大學, 세한대, SEHAN UNIVERSITY, 世翰大學校, 세한대학, 世翰大"
송곡대학교,Songgok University,"Songgok college, 松谷大學, 松谷大學校, 송곡대학, 송곡대, 松谷大"
송원대학교,Songwon University,"松源大, Song Won College, SONGWON UNIVERSITY COLLEGE, 松源大學, 松源大學校, SONGWON UNIVERSITY, 송원대, 송원대학"
송호대학교,Songho University,"松湖大, 송호대, 松湖大學, SongHo College, 松湖大學校, 송호대학"
수성대학교,Suseong University,"SUSEONG COLLEGE, 수성대학, 수성대, 壽城大學校, 壽城大, 壽城大學"
수원가톨릭대학교,Suwon Catholic University,"SUWON CATHOLIC UNIVERSITY, 水原가톨릭大學, 수원가톨릭대, 수원가톨릭대학, 水原가톨릭大, 水原가톨릭大學校, 수원카톨릭대학교"
수원과학대학교,Suwon Science College,"SUWON SCIENCE COLLEGE, 수원과학대학, 수원과학대, 水原科學大學, 水原科學大學校, 水原科學大"
수원대학교,Suwon University,"UNIVERSITY OF SUWON, 수원대학, The University of Suwon, 수원대, 水原大學敎, 水原大, 水原大敎, 水原大學, 수원대학교 산학협력단"
수원여자대학교,Suwon Women's University,"水原女子專門大, 水原女子大, 水原女子大學, SUWON WOMEN'S COLLEGE, 수원여자전문대학, 水原女子大學校, 수원여자전문대, 水原女子專門大學, 수원여자대학, 수원여자대"
숙명여자대학교,Sookmyung Women's University,"숙명여자대, 淑明女子專門學校, 淑明女子大, Sookmyung Women's University, 숙명여자전문학교, 淑明女子大學校, 숙명여자대학, 淑明女子大學"
순복음대학원대학교,Sunbokeum Theological Seminary,"순복음대학원대, 순복음대학원대학, 純福音大學院大學校, 純福音大學院大, SUNBOKEUM THEOLOGICAL SEMINARY, 純福音大學院大學"
순복음총회신학교,Korean Christian College,"Korea Christian College, 純福音總會神學校"
순천대학교,Sunchon University,"SUNCHON NATIONAL UNIVERSITY, 順天大學校, 국립순천대학교, 순천대, 順天大學, 順天大, 순천대학, Sunchon Natinal University"
순천제일대학교,Suncheon Jeil College,"Suncheon Jeil College, 순천제일대학, 順天第一大, Suncheon Jeil Colle, 順天第一大學校, 순천제일대, 順天第一大學"
순천향대학교,Soon Chun Hyang University,"順天鄕大, 순천향대, Soonchunhyang University, 順天鄕大學校, 순천향대학, 順天鄕大學, 순청향대학교"
숭실대학교,Soongsil University,"崇實大學校, 崇實大學, 숭실대, Soongsil University, 崇實大, 숭실대학"
숭실사이버대학교,Korea Soongsil Cyber University ,"崇實사이버大學校, 숭실사이버대학, 숭실사이버대, 崇實사이버大學, Korea Soongsil Cyber University, 崇實사이버大"
숭의여자대학교,Soongeui Women's College,"崇義女子大, 崇義女子大學, 숭의여자대, Soongeui Women's College, 숭의여자대학, 崇義女子大學校"
신경대학교,Shingyeong University,"Shingyeong University, 新京大學校, 신경대학, 新京大, 新京大學, 신경대"
신구대학교,Shingu College,"新丘大, 신구대, 新丘大學校, 신구대학, SHINGU COLLEGE, 新丘大學"
신라대학교,Silla College,"신라대학, 新羅大學, 新羅大學校, 新羅大, 신라대, SILLA UNIVERSITY"
신성대학교,Shinsung University,"SHINSUNG UNIVERSITY, 신성대학, 신성대, 新星大學校, 新星大學, 新星大"
신안산대학교,Shinansan University,"新安山大學校, 新安山大學, 신안산대, 신안산대학, Shin Ansan University, 新安山大"
신한대학교,Shin Han University,"信韓大學, 信韓大學校, 신한대학, 신한대, 信韓大, SHINHAN UNVIRSITY"
신흥대학교,Shinheung College,"SHINHEUNGCOLLEGE, 新興大, 신흥대학, Shinheung College, 新興大學, 新興大學校, 신흥대"
실천신학대학원대학교,Graduate School of Practical Theology,"실천신학대학원대, 실천신학대학원대학, 神學大學院大學, Graduate School of Practical Theology, 神學大學院大學校, 神學大學院大"
아세아연합신학대학교,ACTS University,"亞細亞聯合神學大學校, 아세아연합신학대, 아세아연합신학대학, 亞細亞聯合神學大, Asia United Theological University, Asian Center for Theological Studies and Mission, 亞細亞聯合神學大學"
아주대학교,Ajou University,"아주대, 亞洲大, 아주대학, Ajou University, 亞洲大學校, 亞洲大學"
아주자동차대학,Ajou Motor College,"亞洲自動車大, AJOU MOTOR COLLEGE, 아주자동차대, 亞洲自動車大學, 아주자동차대학교"
안동과학대학교,Andong Science College,"安東科學大學, AndongScienceCollege, 安東科學大學校, 安東科學大, Andong Science College, 안동과학대, 안동과학대학"
안동대학교,Andong University,"안동대, Andong national university, 安東大, 安東大學校, 안동대학, 安東大學, 국립안동대학교"
안산대학교,Ansan University,"安山大學, 안산대, Ansan University, 안산대학, 安山大學校, Ansan College, 安山大"
안양대학교,Anyang University,"安養大學校, Anyang University, 안양대학, 安養大學, 안양대, 安養大"
에브타바드대학교,,
에스라성경대학원대학교,Ezra Bible Institute for Graduate Studies,"Ezra Bible Institute for Graduate Studies, 에스라성경대학원대학, 에스라聖經大學院大, 에스라聖經大學院大學, 에스라성경대학원대, 에스라聖經大學院大學校"
여주대학교,Yeoju Institute of Technology,"여주대, YEOJU INSTITUTE OF TECHNOLOGY, 여주대학, 驪州大學校, 驪州大學, 驪州大"
연성대학교,Yeonsung University,"연성대, YEONSUNG UNIVERSITY, 硏成學大, 연성대학, 硏成學大學"
연세대학교,Yonsei University,"연세대학, Yonsei University, 연세대, 延世大學, 延世大, 延世大學校, 연세대학교(원주)"
연암공과대학교,Yonam Institute of Digital Technology,"연암공과대학, Yonam Institute of Technology, 蓮庵工科大學校, 蓮庵工科大, 蓮庵工科大學, 연암공과대, 연암공업대학교, 연암공업대"
연암대학교,Yonam College,"YONAM COLLEGE, 연암대학, 蓮庵大學校, 蓮庵大, 蓮庵大學, 연암대, 천안연암대학, 천안연암대학교"
영남대학교,Yeungnam University,"영남대학, Yeungnam University, 嶺南大, 嶺南大學, 영남대, 嶺南大學校"
영남신학대학교,Youngnam Theological University and Seminary,"영남신학대, 嶺南神學大, 嶺南神學大學, Youngnam Theological University&Seminary, 嶺南神學大學校, Youngnam Theological University and Seminary, 영남신학대학"
영남외국어대학,Youngnam Foreign Language College,
영남이공대학교,Yeungnam University College,"영남이공대학, 嶺南理工大, 嶺南理工大學校, 嶺南理工大學, 영남이공대"
영산대학교,Youngsan University,"영산대, YOUNGSAN UNIVERSITY, 靈山大學校, 영산대(산업대), 영산대학(산업대), 靈山大學, 영산대학교(산업대), 영산대학, 靈山大"
영산선학대학교,Youngsan University of Seonstudies,"靈山禪學大敎, 영산선학대학, 靈山禪學大學敎, Youngsan University of Seonstudies, 영산선학대, Youngsan University of Seon studies"
영진사이버대학교,Yeungin Cyber College,
영진전문대학교,Yeungjin University,
예명대학원대학교,Yemyung Graduate University,"Yemyung Graduate University, 叡名大學院大學校, 叡名大學院大, 예명대학원대학, 叡名大學院大學, 예명대학원대"
예수대학교,Jesus University,"예수大學, 예수대, Jesus University, 예수大學校, 예수대학, 예수大"
예원예술대학교,Yewon Arts University,"藝苑藝術大學, 예원예술대, 藝苑藝術大學校, yewon arts university, 예원예술대학, 藝苑藝術大"
오산대학교,Osan University,"OSAN UNIVERSITY, 烏山大, 烏山大學校, 오산대학, 烏山大學, 오산대"
온석대학원대학교,Onseok University,
용문상담심리대학원대학교,Seoul Graduate School of Counseling Psychology,"Yongmoon graduate school of counseling psychology, 龍文相談心理大學院大, 용문상담심리대학원대, 龍文相談心理大學院大學校, 龍文相談心理大學院大學, 용문상담심리대학원대학"
용인대학교,Yongin University,"용인대, 龍仁大學, 용인대학, Yong In University, 龍仁大, 龍仁大學校"
용인송담대학교,Yong-In Songdam College,"龍仁松潭大, 용인송담대학, 용인송담대, YONG-IN SONGDAM COLLEGE, 龍仁松潭大學校, 龍仁松潭大學"
우석대학교,Woosuk University,"又石大學校, 又石大學, 우석대, WOOSUK UNIVERSITY, 又石大, 우석대학"
우송대학교,Woosong University,"又松大學校, woosong University, 우송대학, 又松大學, 又松大, 우송대"
우송정보대학,Woosong College,"우송정보대, 又松精報大, Woosong College, 又松精報大學, 우송정보대학교"
울산과학기술원,Ulsan National Institute of Science and Technology,"울산과학기술대학, Ulsan National Institute of Science and Technology, 蔚山科學技術大, 울산과학기술대학교, 蔚山科學技術大學, 蔚山科學技術大學校, 蔚山科學技術院, 울산과학기술대, UNIST, 국립대학법인울산과학기술대학교, 울산과학기술원(UNIST)"
울산과학대학교,Ulsan College,"蔚山科學大學, 蔚山科學大學校, 蔚山科學大, 울산과학대학, ULSAN COLLEGE, 울산과학대"
울산대학교,Ulsan Universtiy,"UNIVERSITY OF ULSAN, 울산대학, 울산대, Ulsan University, 蔚山大學, 蔚山大學校, 蔚山大"
웅지세무대학교,Woongji Accounting & Tax Collage,
원광대학교,Wonkwang University,"Wonkwang University, 圓光大學校, 圓光大, 원광대, 원광대학, 圓光大學"
원광디지털대학교,Wonkwang Digital University,"圓光디지털大學, 원광디지털대, 圓光디지털大, Wonkwang Digital University, 圓光디지털大學校, 원광디지털대학"
원광보건대학교,Wonkwang Health Science University,"圓光保健大學敎, 圓光保健大敎, Wonkwang Health Science University, 원광보건대학, 원광보건대, Wonkwang health Science College"
원불교대학원대학교,Won-Buddhism Graduate School,"원불교대학원대학, 圓佛敎大學院大, 圓佛敎大學院大學, 원불교대학원대, 圓佛敎大學院大學校, WONBUDDHISMGRADUATESCHOOL, WON-BUDDHISM GRADUATE SCHOOL"
웨스트민스터신학대학원대학교,Weatminster Graduate School of Theology ,
위덕대학교,Uiduk University,"威德大, 威德大學, 위덕대학, 위덕대, Uiduk University, 威德大學校"
유원대학교,U1 UNIVERSITY,"유원대학, 유원대, U1 UNIVERSITY, U1대학교, 유원(U1)대학교"
유한대학교,Yuhan University,"柳韓大, YUHAN UNIVERSITY, 유한대, 柳韓大學, 유한대학, 柳韓大學校"
육군3사관학교,Korea Army Academy at Yeongcheon,"Korea Army Academy, 陸軍三士官學校, KOREA ARMY ACADEMY AT YEONG-CHEON"
육군사관학교,Korea Military Academy,"Korea Military Academy, 陸軍士官學校"
을지대학교,Eulji University,"乙支大, 을지대학, 을지의과대학교, 을지대, 乙支醫科大學, Eulji University, 乙支大學校, 乙支醫科大, 을지의과대학, 乙支大學, 을지의과대, 乙支醫科大學校"
이화여자대학교,Ewha Womans University,"이화여자대학, 이화여대, 梨花女子大, Ewha Womans University, 梨花女子大學校, 이화의대, 이화여자대, 梨花女子大學"
인덕대학교,Induk University,"Induk University, 인덕대, 仁德大學, 仁德大學校, 인덕대학, 仁德大, Induk College"
인제대학교,Inje University,"仁濟大學校, 인제대, 仁濟大學, 仁濟大, Inje University, 인제대학"
인천가톨릭대학교,Incheon Catholic University,"인천가톨릭대, 仁川─ 大學校, 仁川─ 大學, Incheon Catholic University, 仁川─ 大, 인천가톨릭대학"
인천대학교,Incheon University,"인천대학, 仁川大學, 인천대, Incheon City College, University of Incheon, 仁川大, Incheon National University, 仁川大學校, 시립인천대학교, 시립인천대"
인천재능대학교,Jei University,"仁川才能大學校, 인천재능대, JEI UNIVERSITY, 仁川才能大, 仁川才能大學, 인천재능대학"
인하공업전문대학,Inha Technical College,"仁荷工業專門大學, 인하공업대학교, 인하공업전문대, 仁荷工業專門大, 인하공업대학, INHA TECHNICAL COLLEGE, 인하공업전문대학교"
인하대학교,Inha University,"인하대, 인하대학, 仁荷大, 仁荷大學, 仁荷大學校, INHA UNIVERSITY"
장로회신학대학교,Presbyterian University and Theological Seminary,"長老會神學大學, 長老會神學大, 장로회신학대, Presbyterian University and Theological Seminary, 장로회신학대학, 長老會神學大學校"
장안대학교,Jangan University,"長安大學校, Changan University, 長安大, 장안대, Chang'an University, 長安大學, JANGAN University, JANGAN COLLEGE, 장안대학"
