Korean,English,Syn
한일장신대학교,HANIL UNIVERSITY & PRESBYTERIAN THEOLOGICAL SEMINARY,"韓一長神大學, 한일장신대, HanilUniv.&Presb.theol.sem, 韓一長神大學校, 韓一長神大, 한일장신대학, haniluniversity&presb.theol.sem"
한중대학교,HANZHONG UNIVERSITY,"韓中大學, 韓中大學校, 韓中大, 한중대학, 한중대"
합동신학대학원대학교,Hapdon Theological Seminary,"合同神學大學院大學, 합동신학대학원대학, HAPDONG THEOLOGICAL SEMINARY, 合同神學大學院大學校, 합동신학대학원대, 合同神學大學院大"
해군사관학교,Republic of Korea Naval Academy," Naval Academy, 海軍士官學校"
협성대학교,Hyupsung University,"協成大學, 協成大學校, 협성대학, HYUPSUNGUNIVERSITY, 協成大, HYUPSUNG UNIVERSITY, 협성대"
혜전대학교,HYEJEON COLLEGE,"혜전대학, 혜전대, 彗田大學校, 彗田大, 彗田大學"
호남대학교,Honam University,"湖南大學校, 湖南大, 湖南大學, 호남대, 호남대학, 후난대학교, Honam University, Hunan University"
호남신학대학교,Honam Theological University and Seminary,"湖南神學大學校, 호남신학대학, 湖南神學大, 호남신학대, 湖南神學大學, Honam Theological University, Honam Theological University & Seminary"
호산대학교,Hosan University,"瑚山大學校, 瑚山大學, 瑚山大, 호산대, 호산대학"
호서대학교,Hoseo University,"HOSEO University, 湖西大, 湖西大學, 湖西大學校, 호서대학, 호서대"
호원대학교,Howon University,"湖原大, howon university, 湖原大學, 호원대, 호원대학, 湖原大學校"
홍익대학교,Hongik University,"Hongik University, 弘益大學校, 弘益大學, 홍익대학, 홍익대, 弘益大, 홍익대학교 과학기술연구소, 홍익대학교 디자인공학연구소, 홍익대학교 메타물질전자소자연구센터, 홍익대학교 세종캠퍼스, 홍익대학교(세종)"
화신사이버대학교,Hwashin Cyber University,"和信사이버大學校, 화신사이버대, 和信사이버大, 和信사이버大學, 화신사이버대학"
횃불트리니티신학대학원대학교,Torch Trinity Graduate University,"횃불트리니티神學大學院大學敎, 횃불트리니티신학대학원대학, 횃불트리니티신학대학원대, 횃불트리니티神學大學院大敎"
ICT폴리텍대학,ICT Polytech Institute of Korea,"ICT폴리텍學校, ICT폴리텍대"
건국대학교 GLOCAL(글로컬)캠퍼스,,"건국대학교(글로컬), 건국대학교충주산학협력단, 건국대학교충주병원, 건국대학교글로컬산합협력단, 건국대학교글로컬산학협력단(충주), 건국대학교글로컬산학협력단(법인), 건국대학교글로컬산학협력단, 건국대학교글로컬 산학협력단, 건국대학교(충주), 건국대학교(글로컬캠퍼스), 건국대학교(글로컬) 산학협력단, 건국대학교  글로컬산학협력단, 건국대학교 GLOCAL(글로컬)산학협력단, 건국대학교 GLOCAL(글로컬)캠퍼스 스토리앤이미지텔링연구소, 건국대학교 글로컬 산학협력단, 건국대학교 글로컬산학협력단, 건국대학교(GLOCAL)  "
한양대학교(ERICA캠퍼스),,"한양대학교에리카산학협력단, 한양대학교에리카, 한양대학교산학협력단(안산), 한양대학교(ERICA캠펴스), 한양대학교(ERICA캠퍼스) 창의성과인터랙션연구소, 한양대학교(ERICA캠퍼스) 글로벌다문화연구원, 한양대학교(ERICA), 한양대학교(ERICA캠퍼스) 공학기술연구소,  한양대학교 ERICA 산학협력단, 한양대학교 ERICA 산학협력단(소프트웨어융합대학 ICT융합학부), 한양대학교 에리카 산학협력단, 한양대학교 에리카산학협력단, 한양대학교 에리카캠퍼스"
KC대학교,,케이씨대학교
국방대학교,,"국방대, National Defense University, 國防大學校, 국방대학, Korea National Defense University, 國防大學, 國防大"
백석예술대학교,,
정화예술대학교,,"JEONGHWA ARTS COLLEGE, 貞華藝術大學, 정화예술대, Jeonghwa Arts University, 貞華藝術大, 貞華藝術大學校, 정화예술대학"
한국에너지공과대학교,,
가천의과대학교,,"嘉泉醫科大學, 가천의과대학, 嘉泉醫科大, Gachon Medical School, 가천의과대, 가천대학교(메디컬캠퍼스), 가천의과학대학교"
겐트대학교,,
건동대학교,,
경산1대학교,,"경산1대학, 慶山1大, GYEONGSAN UNIVERSITY, 경산1대, Gyeongsan University College"
경원대학교,,"暻園專門大, Kyungwon University, 暻園大學校, 暻園大學, 경원대, 경원대학, Kyungwon College, 暻園大"
국립정치대학교,,"정치대학교, 국립정치대, 국립정치대학"
그리스도대학교,,"Korea Christian University, 그리스도대, 그리스도大學, 그리스도大, 그리스도大學校, 그리스도대학"
김천과학대학교,,"金泉科學大學校, Kimcheon Science College, KIMCHOUNSCIENCECOLLEGE, 金泉科學大, 金泉科學大學, 김천과학대학, 김천과학대"
꽃동네현도사회복지대학교,,"꽃동네현도사회복지대, 꽃동네현도사회복지대학, Kkottongnae Hyundo University of Social Welfare"
능인불교대학원대학교,,"NUNGIN UNIVERSITY OF BUDDHIST, 능인불교대학원대학, 能仁佛敎大學院大敎, 能仁佛敎大學院大學敎, 능인불교대학원대"
대불대학교,,"大佛大, 大佛大學校, Daebul University, 대불대학, Daibul University, 大佛大學, 대불대"
동방대학원대학교,,"동방대학원, 동방대학원 대학교"
동아인재대학교,,"동아인재대학, 동아인재대, Dong-A College, Donga injae college, DongA Injae University"
서울벤처정보대학원대학교,,"서울벤처정보대학원대, 서울벤처정보대학원대학"
서울제일대학원대학교,,"서울제일대학원대학, 서울第一大學院大, 서울제일대학원대, 서울第一大學院大學校, 서울第一大學院大學"
양산대학교,,"Yangsan College, 양산대, yangsan university, 양산대학"
진주산업대학교,,"晉州産業大, Jinju National University, 晉州産業大學, 국립 진주농림전문학교, 국립 진주산업대, 學校運營計劃, 국립 진주산업대학교, 晉州産業大學校, 국립 진주농림전문대학, 국립 진주농림전문대, 국립 진주산업대학"
한독미디어대학원대학교,,"한독미디어대학원대학, Korean German Institute of Technology, 한독미디어대학원대"
한영신학대학교,,"HanYoungTheologicalUniversity, 韓榮神學大, Hanyoung Theological University, 韓榮神學大學校, 韓榮神學大學, 한영신학대학, 한영신학대, 서울한영신학대학교"
혜천대학교,,"혜천대, 혜천대학, Hyechon College, 惠泉大學校, 惠泉大, 惠泉大學"
성균관대학교(자연과학캠퍼스),,
